,species,x,y,additional_observations,classification_id,user_name,created_at,subject_ids,image_utm_left,image_utm_bottom,image_utm_right,image_utm_top,site,event,resolution,subject_reference,label,behavior
10,White Ibis ,802.3046264648438,452.2739562988281,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
11,White Ibis ,583.1375732421875,348.6519470214844,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
12,White Ibis ,607.1027221679688,392.90576171875,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
13,White Ibis ,627.9020385742188,197.05712890625,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
14,White Ibis ,680.521484375,240.34925842285156,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
15,White Ibis ,676.5812377929688,486.1706848144531,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
16,White Ibis ,636.0634765625,433.00653076171875,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
17,White Ibis ,847.0094604492188,431.5597839355469,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
18,White Ibis ,901.7820434570312,455.99298095703125,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
19,White Ibis ,842.490478515625,394.8291015625,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
20,White Ibis ,791.81982421875,487.6259460449219,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
21,White Ibis ,839.2650756835938,496.6299133300781,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
22,White Ibis ,759.012451171875,527.1735229492188,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
23,White Ibis ,538.0753173828125,510.5868835449219,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
24,White Ibis ,605.5538330078125,498.0085754394531,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
25,White Ibis ,765.7015991210938,605.162353515625,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
26,White Ibis ,840.5416259765625,734.9451904296875,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
27,White Ibis ,814.0233764648438,823.01025390625,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
28,White Ibis ,748.1447143554688,823.6315307617188,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
29,White Ibis ,402.36077880859375,632.7103881835938,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
30,White Ibis ,333.2226867675781,702.580322265625,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
31,White Ibis ,346.67755126953125,287.7689208984375,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
32,White Ibis ,1103.30712890625,507.0210266113281,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
33,White Ibis ,1056.0406494140625,711.8821411132812,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
34,White Ibis ,1201.576171875,598.9923706054688,Yes,231685815,weecology,2020-04-28 21:24:55 UTC,43846108,545825.5631697105,2889373.0434947284,545841.4190953396,2889388.899420358,6thBridge,03112020,0.010570617086130553,287,White Ibis - Nesting, Nesting
35,,,,No,231691175,weecology,2020-04-28 21:35:21 UTC,43846215,545841.4190953397,2889484.0349741327,545857.2750209689,2889499.890899762,6thBridge,03112020,0.010570617086130553,336,,
36,,,,No,231691251,weecology,2020-04-28 21:35:28 UTC,43846801,545714.5716903062,2889293.7638665824,545730.4276159353,2889309.619792212,6thBridge,03112020,0.010570617086130553,539,,
37,,,,No,231691320,weecology,2020-04-28 21:35:36 UTC,43846672,545857.2750209689,2889563.3146022786,545873.1415172152,2889579.170527908,6thBridge,03112020,0.010570617086130553,494,,
38,,,,No,231691428,weecology,2020-04-28 21:35:47 UTC,43847195,545984.1224260025,2889103.492759032,545999.9783516317,2889119.3486846616,6thBridge,03112020,0.010570617086130553,721,,
39,,,,Yes,231696655,weecology,2020-04-28 21:44:11 UTC,43847431,545841.4190953397,2889420.611271616,545857.2750209689,2889436.4671972455,6thBridge,03112020,0.010570617086130553,827,,
40,White Ibis ,898.853515625,542.72216796875,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Roosting, Roosting
41,White Ibis ,1084.91357421875,849.98681640625,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
42,Roseate Spoonbill ,1065.2823486328125,899.482666015625,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,Roseate Spoonbill - Nesting, Nesting
43,White Ibis ,1084.0592041015625,1060.794677734375,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
44,White Ibis ,749.492919921875,626.3637084960938,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
45,Roseate Spoonbill ,976.7599487304688,343.72503662109375,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,Roseate Spoonbill - Nesting, Nesting
46,Roseate Spoonbill ,658.407470703125,383.8324279785156,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,Roseate Spoonbill - Nesting, Nesting
47,Roseate Spoonbill ,306.3184814453125,1202.85205078125,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,Roseate Spoonbill - Nesting, Nesting
48,White Ibis ,115.99612426757812,1309.5421142578125,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
49,White Ibis ,382.2802734375,1374.4068603515625,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
50,White Ibis ,655.3992309570312,1120.0648193359375,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
51,White Ibis ,368.5149841308594,780.2852172851562,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
52,White Ibis ,234.51388549804688,671.895751953125,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
53,White Ibis ,178.18325805664062,521.16455078125,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
54,White Ibis ,81.73593139648438,459.70782470703125,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
55,Snowy Egret ,1214.315185546875,1449.0697021484375,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,Snowy Egret - Nesting, Nesting
56,White Ibis ,1119.5765380859375,1458.7962646484375,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
57,White Ibis ,1021.4298706054688,1467.330322265625,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
58,White Ibis ,1058.129150390625,1239.44482421875,Yes,236402481,lagarner,2020-05-08 01:22:36 UTC,43847080,545841.4190953397,2889119.3486846616,545857.2750209689,2889135.204610291,6thBridge,03112020,0.010570617086130553,669,White Ibis - Nesting, Nesting
59,Great Egret ,524.6276245117188,1285.5479736328125,No,236402602,lagarner,2020-05-08 01:23:28 UTC,43846065,545952.4105747441,2889151.06053592,545968.2665003733,2889166.9164615492,6thBridge,03112020,0.010570617086130553,269,Great Egret - Nesting, Nesting
60,White Ibis ,101.8551025390625,659.593994140625,No,236402602,lagarner,2020-05-08 01:23:28 UTC,43846065,545952.4105747441,2889151.06053592,545968.2665003733,2889166.9164615492,6thBridge,03112020,0.010570617086130553,269,White Ibis - Nesting, Nesting
61,White Ibis ,78.67376708984375,631.138916015625,No,236402602,lagarner,2020-05-08 01:23:28 UTC,43846065,545952.4105747441,2889151.06053592,545968.2665003733,2889166.9164615492,6thBridge,03112020,0.010570617086130553,269,White Ibis - Nesting, Nesting
62,White Ibis ,545.2992553710938,944.4493408203125,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
63,White Ibis ,567.1116943359375,906.6973876953125,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
64,White Ibis ,520.6494140625,911.4437255859375,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
65,White Ibis ,499.7862548828125,950.322265625,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
66,White Ibis ,495.9891357421875,1062.221923828125,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
67,White Ibis ,563.3145751953125,1135.2431640625,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
68,White Ibis ,565.213134765625,1214.9091796875,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
69,White Ibis ,643.9299926757812,1182.6651611328125,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
70,White Ibis ,684.7070922851562,1155.156982421875,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
71,White Ibis ,312.01751708984375,1360.002197265625,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
72,White Ibis ,236.1485595703125,1378.017578125,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
73,White Ibis ,197.27001953125,1355.255859375,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
74,White Ibis ,191.57440185546875,1384.652099609375,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
75,White Ibis ,229.503662109375,983.515625,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
76,White Ibis ,107.17233276367188,802.3814086914062,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
77,White Ibis ,540.5632934570312,744.5382080078125,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
78,White Ibis ,554.8006591796875,438.89404296875,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
79,White Ibis ,520.6580810546875,410.35321044921875,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
80,White Ibis ,493.16033935546875,520.3543701171875,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
81,White Ibis ,429.62152099609375,522.2529296875,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
82,White Ibis ,636.8727416992188,193.78775024414062,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
83,White Ibis ,493.31512451171875,140.32949829101562,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
84,Roseate Spoonbill ,94.68035888671875,77.7152099609375,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,Roseate Spoonbill - Nesting, Nesting
85,White Ibis ,1462.7247314453125,960.8338623046875,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
86,White Ibis ,1466.297119140625,1144.972412109375,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
87,White Ibis ,1466.297119140625,1212.7901611328125,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
88,White Ibis ,1437.7371826171875,1303.78955078125,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
89,White Ibis ,1350.2904052734375,561.4646606445312,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
90,White Ibis ,1257.5047607421875,181.37095642089844,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
91,White Ibis ,1091.5621337890625,1398.3616943359375,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
92,White Ibis ,750.726318359375,1446.550537109375,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
93,White Ibis ,693.625732421875,1459.034423828125,No,236402834,lagarner,2020-05-08 01:25:07 UTC,43846543,545873.1309465981,2889357.1875690995,545888.9868722273,2889373.043494729,6thBridge,03112020,0.010570617086130553,455,White Ibis - Nesting, Nesting
94,,,,No,236402867,lagarner,2020-05-08 01:25:19 UTC,43846182,546063.4020541485,2889182.772387178,546079.2579797776,2889198.6283128075,6thBridge,03112020,0.010570617086130553,320,,
95,,,,No,238110342,lagarner,2020-05-12 13:58:52 UTC,43846877,546142.6816822945,2888960.7894283696,546158.5376079236,2888976.645353999,6thBridge,03112020,0.010570617086130553,574,,
96,,,,No,238110399,lagarner,2020-05-12 13:59:04 UTC,43846801,545714.5716903062,2889293.7638665824,545730.4276159353,2889309.619792212,6thBridge,03112020,0.010570617086130553,539,,
97,Great Egret ,1172.21875,607.3561401367188,Yes,238112083,lagarner,2020-05-12 14:04:46 UTC,43846446,545873.1309465981,2889135.2046102905,545888.9868722273,2889151.06053592,6thBridge,03112020,0.010570617086130553,419,Great Egret - Nesting, Nesting
98,Great Egret ,1007.8276977539062,497.2120666503906,Yes,238112083,lagarner,2020-05-12 14:04:46 UTC,43846446,545873.1309465981,2889135.2046102905,545888.9868722273,2889151.06053592,6thBridge,03112020,0.010570617086130553,419,Great Egret - Nesting, Nesting
99,Roseate Spoonbill ,130.01275634765625,1394.228759765625,Yes,238112083,lagarner,2020-05-12 14:04:46 UTC,43846446,545873.1309465981,2889135.2046102905,545888.9868722273,2889151.06053592,6thBridge,03112020,0.010570617086130553,419,Roseate Spoonbill - Nesting, Nesting
100,,,,No,238112491,lagarner,2020-05-12 14:06:05 UTC,43847241,546015.8342772608,2888865.6538745943,546031.69020289,2888881.5098002236,6thBridge,03112020,0.010570617086130553,741,,
101,White Ibis ,1288.16845703125,1475.020751953125,Yes,238119247,Kris_Corbett,2020-05-12 14:22:55 UTC,43847636,545762.1394671937,2889214.4842384364,545777.9953928229,2889230.340164066,6thBridge,03112020,0.010570617086130553,927,White Ibis - Nesting, Nesting
102,Unknown ,1361.4947509765625,1445.6903076171875,Yes,238119247,Kris_Corbett,2020-05-12 14:22:55 UTC,43847636,545762.1394671937,2889214.4842384364,545777.9953928229,2889230.340164066,6thBridge,03112020,0.010570617086130553,927,Unknown - White - Small - Nesting, White - Small - Nesting
103,Unknown ,1383.29443359375,1291.1103515625,Yes,238119247,Kris_Corbett,2020-05-12 14:22:55 UTC,43847636,545762.1394671937,2889214.4842384364,545777.9953928229,2889230.340164066,6thBridge,03112020,0.010570617086130553,927,Unknown - White - Small - Nesting, White - Small - Nesting
104,,,,Yes,238120528,Kris_Corbett,2020-05-12 14:25:30 UTC,43846779,545920.6987234857,2889214.4842384364,545936.5546491148,2889230.340164066,6thBridge,03112020,0.010570617086130553,532,,
105,,,,No,238124343,jargarcia14,2020-05-12 14:33:51 UTC,43847352,545762.1394671937,2889135.2046102905,545777.9953928229,2889151.06053592,6thBridge,03112020,0.010570617086130553,791,,
106,,,,No,238126966,Mack24601,2020-05-12 14:39:33 UTC,43847135,546063.4020541485,2888960.7894283696,546079.2579797776,2888976.645353999,6thBridge,03112020,0.010570617086130553,694,,
107,,,,No,238127103,Mack24601,2020-05-12 14:39:52 UTC,43846674,545730.4276159353,2889008.357205257,545746.2835415645,2889024.213130886,6thBridge,03112020,0.010570617086130553,495,,
108,,,,No,238127255,Mack24601,2020-05-12 14:40:13 UTC,43847812,545793.8513184522,2889040.0690565156,545809.7072440813,2889055.924982145,6thBridge,03112020,0.010570617086130553,1011,,
109,,,,No,238127738,Mack24601,2020-05-12 14:41:22 UTC,43845647,545762.1394671937,2888992.501279628,545777.9953928229,2889008.3572052573,6thBridge,03112020,0.010570617086130553,71,,
110,Unknown ,147.36927795410156,593.500732421875,No,238130150,Kris_Corbett,2020-05-12 14:46:50 UTC,43847601,545952.4105747441,2889325.4757178407,545968.2665003733,2889341.33164347,6thBridge,03112020,0.010570617086130553,908,Unknown - White - Small - Nesting, White - Small - Nesting
111,Unknown ,115.78302001953125,926.103271484375,No,238130150,Kris_Corbett,2020-05-12 14:46:50 UTC,43847601,545952.4105747441,2889325.4757178407,545968.2665003733,2889341.33164347,6thBridge,03112020,0.010570617086130553,908,Unknown - White - Small - Nesting, White - Small - Nesting
